route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"99-11-r11-1","TA+b00k9","293.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00k9","294.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00k9","295.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00k9","296.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00k9","297.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00k9","298.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kt","299.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b0027","3.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00kl","30.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00k9","300.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kg","301.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kg","302.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kg","303.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kg","304.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kl","305.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kl","306.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kl","307.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kl","308.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kl","309.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kl","31.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00kl","310.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
"99-11-r11-1","TA+b00kl","311.TA.99-11-r11-1.4.I","99-11-r11-1.4.I","","1"
