route_id,agency_id,route_short_name,route_long_name,route_type
"10-489-e20-1","01","489","Bus Station - Canal Street","3"
"10-490-e19-1","01","490","Donegal Abbey Hotel - Glencolumbcille (School)","3"
"10-490-e20-1","01","490","Donegal Abbey Hotel - Glencolumbcille (School)","3"
"10-491-e19-1","01","491","Bus Station - Ballybofey (McElhineys)","3"
"10-491-e20-1","01","491","Bus Station - Ballybofey (McElhineys)","3"
"10-492-e19-1","01","492","Donegal Abbey Hotel - Dungloe (Opp Sweeneys Hotel)","3"
"10-492-e20-1","01","492","Donegal Abbey Hotel - Dungloe (Opp Sweeneys Hotel)","3"
"10-494-e19-1","01","494","Canal Street - Ballybofey (McElhineys)","3"
"10-494-e20-1","01","494","Canal Street - Ballybofey (McElhineys)","3"
"10-495-e19-1","01","495","Ballyshannon (Bus Station) - Manorhamilton (New Line)","3"
"10-495-e20-1","01","495","Ballyshannon (Bus Station) - Manorhamilton (New Line)","3"
"10-4-e19-1","01X","4","Dublin Airport - Waterford Bus Station","3"
"10-4-e20-1","01X","4","Dublin Airport - Waterford Bus Station","3"
"10-51-e19-1","01X","51","Cork Bus Station - Galway Bus Station","3"
"10-51-e20-1","01X","51","Cork Bus Station - Galway Bus Station","3"
"10-52-e19-1","01X","52","Ballina Bus Station - Galway Bus Station","3"
"10-52-e20-1","01X","52","Ballina Bus Station - Galway Bus Station","3"
"10-55-e19-1","01X","55","Limerick Bus Station - Waterford Bus Station","3"
"10-55-e20-1","01X","55","Limerick Bus Station - Waterford Bus Station","3"
"10-601-wb2-1","01","601","The Clock Tower - Meaghers Quay via WIT","3"
"10-601-wbe-1","01","601","The Clock Tower - Meaghers Quay via WIT","3"
"10-602-wb2-1","01","602","The Clock Tower - Meaghers Quay via St Johns Park","3"
"10-602-wbe-1","01","602","The Clock Tower - Meaghers Quay via St Johns Park","3"
"10-603-wb2-1","01","603","The Clock Tower - Meaghers Quay via WIT","3"
"10-603-wbe-1","01","603","The Clock Tower - Meaghers Quay via WIT","3"
"10-604-wb2-1","01","604","Peter Street - Brownes Road","3"
"10-604-wbe-1","01","604","Peter Street - Brownes Road","3"
"10-605-wb2-1","01","605","Waterford Hospital - Oakwood","3"
"10-605-wbe-1","01","605","Waterford Hospital - Oakwood","3"
"10-64-e19-1","01X","64","Derry (Magee Campus Strand Road) - Galway Bus Station","3"
"10-64-e20-1","01X","64","Derry (Magee Campus Strand Road) - Galway Bus Station","3"
"10-65-e19-1","01","65","Galway Bus Station - Monaghan Bus Station","3"
"10-65-e20-1","01","65","Galway Bus Station - Monaghan Bus Station","3"
"10-700-e19-1","01X","700","Wilton Terrace -","3"
"10-700-e20-1","01X","700","Wilton Terrace -","3"
"10-704-e19-1","01","704","Busáras - Abbey Road","3"
"10-704-e20-1","01","704","Busáras - Abbey Road","3"
"10-708-e19-1","01","708","The Harbour - Longwood (Spar)","3"
"10-708-e20-1","01","708","The Harbour - Longwood (Spar)","3"
"10-70-e19-1","01","70","Galway Bus Station - Outside Train Station","3"
"10-70-e20-1","01","70","Galway Bus Station -","3"
"10-712-e19-1","01","712","- Fatima","3"
"10-712-e20-1","01","712","- Fatima","3"
"10-713-e19-1","01","713","- Bay Estate Dundalk","3"
"10-713-e20-1","01","713","- Bay Estate Dundalk","3"
"10-714-e19-1","01","714","Farnham Street Bus Station - Monaghan Bus Station","3"
"10-714-e20-1","01","714","Farnham Street Bus Station - Monaghan Bus Station","3"
