from_stop_id,to_stop_id,transfer_type,min_transfer_time
"8260DB003112","8260DB005118","2","0"
"8260DB006089","8260DB003918","2","0"
"8260DB003918","8260DB006089","2","0"
"8260DB006156","8260DB006161","2","60"
"8260DB006156","8260DB006165","2","60"
"8260DB006165","8260DB006157","2","60"
"8260DB006165","8260DB006160","2","60"
"8260DB006165","8260DB006156","2","60"
"8260DB007074","8260DB007075","2","0"
"8260DB007075","8260DB007074","2","0"
"8270B136121","8270B3386701","2","0"
"8270B3386701","8270B136121","2","0"
"8260DB003938","8260DB003900","2","60"
"8260DB003939","8260DB003899","2","180"
"8260DB003940","8260DB003898","2","0"
"8260DB003941","8260DB003897","2","0"
"8260DB003897","8260DB003941","2","0"
"8260DB003936","8260DB003902","2","0"
"8260DB003929","8260DB003906","2","0"
"8260DB003904","8260DB003935","2","0"
"8260DB003935","8260DB003904","2","0"
"8260DB003962","8260DB003989","2","0"
"8260DB003987","8260DB003963","2","0"
"8260DB003963","8260DB003987","2","0"
"8260DB003964","8260DB003986","2","240"
"8260DB003965","8260DB003985","2","0"
"8260DB003985","8260DB003965","2","0"
"8260DB003957","8260DB003998","2","0"
"8260DB003998","8260DB003957","2","0"
"8260DB003959","8260DB003991","2","0"
"8260DB003990","8260DB003960","2","0"
"8260DB003960","8260DB003990","2","0"
"8260DB003926","8260DB003008","2","0"
"8260DB003910","8260DB003923","2","0"
"8260DB003911","8260DB003922","2","0"
"8260DB003921","8260DB003912","2","0"
"8260DB003912","8260DB003921","2","0"
"8260DB003913","8260DB003920","2","0"
"8260DB003920","8260DB003913","2","0"
"8260DB003914","8260DB003919","2","60"
"8260DB003906","8260DB003929","2","0"
"8260DB003922","8260DB003911","2","0"
"8260DB003923","8260DB003910","2","0"
"8260DB003008","8260DB003926","2","0"
"8260DB003917","8260B1354601","2","120"
"8260DB003919","8260DB003914","2","60"
"8350DB004018","8350DB004060","2","0"
"8350DB004060","8350DB004018","2","0"
"8260DB004002","8260DB004405","2","0"
"8260DB005113","8260DB003981","2","0"
"8260DB005113","8260B1354601","2","150"
"8260DB005113","8260B1034301","2","540"
"8260DB005112","8260DB004404","2","0"
"8260DB004404","8260DB005112","2","0"
"8260DB004405","8260DB004002","2","0"
"8260DB003981","8260DB005113","2","0"
"8260DB003981","8260B1354601","2","150"
"8260DB003981","8260B1034301","2","540"
"8260DB003982","8260DB003966","2","0"
"8260DB003966","8260DB003982","2","0"
"8260DB003989","8260DB003962","2","0"
"8260DB003991","8260DB003959","2","0"
"8260DB003986","8260DB003964","2","240"
"8290B553451","8290B553421","2","60"
"8290B1520801","8290B152151","2","0"
"8290B152151","8290B1520801","2","0"
"8290B556281","8290B152201","2","0"
"8290B152201","8290B556281","2","0"
"8290B556131","8290B556181","2","0"
"8290B556181","8290B556131","2","0"
"8290B1357701","8290B135801","2","480"
"8290B1357701","8290B135741","2","480"
"8290B1359001","8290B104951","2","60"
"8290B5710601","8290B571101","2","0"
"8300B102011","8300B139661","2","0"
